Report Date/Time: 10/28/2015 11:26 AM,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1,,,,
,,,"2015 October Voter Registration - October 1, 2015",,,,,,,,,
,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,,,
,,,,,,,,,,,,
,,,,,ACTIVE,,,,,,,
,Precincts,Date/Period,Americans ,Democratic,Green,Libertarian,Republican,Other,TOTAL,,,
Apache,45,  APR 2015,5,"26,681",34,142,"7,400","12,626","46,888",,,
,45,  JUL 2015,0,"26,680",35,143,"7,466","12,857","47,181",,,
,45,  OCT 2015,5,"26,747",34,147,"7,544","13,058","47,535",,,
,,,,,,,,,,,,
Cochise,49,  APR 2015,14,"18,632",110,445,"25,582","24,435","69,218",,,
,49,  JUL 2015,13,"18,641",117,444,"25,609","24,847","69,671",,,
,49,  OCT 2015,13,"18,796",112,438,"25,796","25,289","70,444",,,
,,,,,,,,,,,,
Coconino,71,  APR 2015,4,"25,892",226,782,"17,693","25,388","69,985",,,
,71,  JUL 2015,4,"25,768",222,776,"17,583","25,412","69,765",,,
,71,  OCT 2015,6,"25,912",207,777,"17,544","25,423","69,869",,,
,,,,,,,,,,,,
Gila,39,  APR 2015,2,"9,361",22,162,"10,753","8,198","28,498",,,
,39,  JUL 2015,2,"9,340",22,164,"10,820","8,300","28,648",,,
,39,  OCT 2015,2,"9,237",22,167,"10,870","8,467","28,765",,,
,,,,,,,,,,,,
Graham,22,  APR 2015,2,"5,676",8,60,"7,473","4,462","17,681",,,
,22,  JUL 2015,2,"5,629",8,61,"7,413","4,551","17,664",,,
,22,  OCT 2015,2,"5,624",7,61,"7,446","4,646","17,786",,,
,,,,,,,,,,,,
Greenlee,8,  APR 2015,0,"2,102",3,25,"1,108","1,201","4,439",,,
,8,  JUL 2015,0,"2,093",3,25,"1,106","1,230","4,457",,,
,8,  OCT 2015,0,"2,087",2,25,"1,128","1,273","4,515",,,
,,,,,,,,,,,,
La Paz,11,  APR 2015,1,"2,164",11,37,"3,230","3,462","8,905",,,
,11,  JUL 2015,1,"2,164",10,38,"3,222","3,497","8,932",,,
,11,  OCT 2015,1,"2,157",10,38,"3,241","3,550","8,997",,,
,,,,,,,,,,,,
Maricopa,724,  APR 2015,322,"512,024","2,212","17,432","693,749","726,558","1,952,297",,,
,724,  JUL 2015,337,"513,655","2,187","17,666","696,627","741,909","1,972,381",,,
,724,  OCT 2015,348,"520,859","2,229","17,901","702,116","759,935","2,003,388",,,
,,,,,,,,,,,,
Mohave,73,  APR 2015,17,"22,109",106,676,"45,963","47,558","116,429",,,
,73,  JUL 2015,17,"20,526",101,649,"43,921","44,747","109,961",,,
,24,  OCT 2015,17,"20,313",101,646,"43,898","45,040","110,015",,,
,,,,,,,,,,,,
Navajo,61,  APR 2015,6,"23,078",45,363,"17,647","16,412","57,551",,,
,61,  JUL 2015,6,"23,155",48,373,"17,782","16,752","58,116",,,
,61,  OCT 2015,7,"23,260",47,383,"18,060","17,239","58,996",,,
,,,,,,,,,,,,
Pima,248,  APR 2015,60,"172,777","1,536","3,854","146,481","159,242","483,950",,,
,248,  JUL 2015,65,"171,962","1,517","3,833","145,770","160,631","483,778",,,
,248,  OCT 2015,70,"175,086","1,554","3,839","147,331","164,914","492,794",,,
,,,,,,,,,,,,
Pinal,102,  APR 2015,10,"42,765",153,"1,127","51,791","63,928","159,774",,,
,102,  JUL 2015,11,"42,833",150,"1,140","52,198","65,368","161,700",,,
,102,  OCT 2015,11,"43,221",148,"1,132","53,024","67,429","164,965",,,
,,,,,,,,,,,,
Santa Cruz,24,  APR 2015,0,"11,475",32,124,"3,705","7,821","23,157",,,
,24,  JUL 2015,0,"11,517",33,126,"3,715","8,000","23,391",,,
,24,  OCT 2015,0,"11,580",34,129,"3,743","8,189","23,675",,,
,,,,,,,,,,,,
Yavapai,45,  APR 2015,9,"24,308",230,949,"53,410","44,751","123,657",,,
,45,  JUL 2015,8,"24,281",236,962,"53,269","45,197","123,953",,,
,45,  OCT 2015,10,"24,283",220,957,"53,412","45,561","124,443",,,
,,,,,,,,,,,,
Yuma,44,  APR 2015,7,"24,239",29,473,"20,868","27,645","73,261",,,
,44,  JUL 2015,7,"23,876",28,475,"20,607","28,096","73,089",,,
,44,  OCT 2015,8,"23,560",28,459,"20,343","29,321","73,719",,,
,,,,,,,,,,,,
TOTALS:,"1,566",  APR 2015,459,"923,283","4,757","26,651","1,106,853","1,173,687","3,235,690",,,
,"1,566",  JUL 2015,473,"922,120","4,717","26,875","1,107,108","1,191,394","3,252,687",,,
,"1,517",  OCT 2015,500,"932,722","4,755","27,099","1,115,496","1,219,334","3,299,906",,,
,,,,,,,,,,,,
PERCENTAGES:,,  APR 2015,0.01,28.53,0.15,0.82,34.21,36.27,,,,
,,  JUL 2015,0.01,28.35,0.15,0.83,34.04,36.63,,,,
,,  OCT 2015,0.02,28.27,0.14,0.82,33.8,36.95,,,,
,,,,,,,,,,,,
Report Date/Time: 10/26/2015 11:54 AM,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 2,,,,
,,,"2015 October Voter Registration - October 1, 2015",,,,,,,,,
,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,,,
,,,,,,,,,,,,
,,,,,ACTIVE,,,,,,,
Congressional,Precincts,,Americans ,Democratic,Green,Libertarian,Republican,Other,TOTAL,,,
 Congressional District 1,,,,,,,,,,,,
    Apache,45,,5,"26,747",34,147,"7,544","13,058","47,535",,,
    Coconino,71,,6,"25,912",207,777,"17,544","25,423","69,869",,,
    Gila,22,,1,"6,206",7,53,"2,482","3,635","12,384",,,
    Graham,22,,2,"5,624",7,61,"7,446","4,646","17,786",,,
    Greenlee,8,,0,"2,087",2,25,"1,128","1,273","4,515",,,
    Maricopa,3,,0,446,1,8,59,444,958,,,
    Mohave,2,,0,279,0,2,117,344,742,,,
    Navajo,61,,7,"23,260",47,383,"18,060","17,239","58,996",,,
    Pima,26,,4,"15,006",72,371,"24,877","19,370","59,700",,,
    Pinal,60,,4,"27,440",79,548,"26,287","34,360","88,718",,,
    Yavapai,7,,2,"4,406",37,151,"5,986","7,412","17,994",,,
    TOTALS,327,,31,"137,413",493,"2,526","111,530","127,204","379,197",,,
,,,,,,,,,,,,
 Congressional District 2,,,,,,,,,,,,
    Cochise,49,,13,"18,796",112,438,"25,796","25,289","70,444",,,
    Pima,145,,41,"103,242",991,"2,455","100,063","101,926","308,718",,,
    TOTALS,194,,54,"122,038","1,103","2,893","125,859","127,215","379,162",,,
,,,,,,,,,,,,
 Congressional District 3,,,,,,,,,,,,
    Maricopa,46,,11,"30,798",76,807,"23,824","41,716","97,232",,,
    Pima,77,,25,"56,838",491,"1,013","22,391","43,618","124,376",,,
    Pinal,1,,0,131,0,0,11,55,197,,,
    Santa Cruz,24,,0,"11,580",34,129,"3,743","8,189","23,675",,,
    Yuma,29,,4,"17,660",18,276,"9,316","18,624","45,898",,,
    TOTALS,177,,40,"117,007",619,"2,225","59,285","112,202","291,378",,,
,,,,,,,,,,,,
 Congressional District 4,,,,,,,,,,,,
    Gila,17,,1,"3,031",15,114,"8,388","4,832","16,381",,,
    La Paz,11,,1,"2,157",10,38,"3,241","3,550","8,997",,,
    Maricopa,18,,6,"4,272",15,177,"10,211","8,637","23,318",,,
    Mohave,22,,17,"20,034",101,644,"43,781","44,696","109,273",,,
    Pinal,41,,7,"15,650",69,584,"26,726","33,014","76,050",,,
    Yavapai,38,,8,"19,877",183,806,"47,426","38,149","106,449",,,
    Yuma,15,,4,"5,900",10,183,"11,027","10,697","27,821",,,
    TOTALS,162,,44,"70,921",403,"2,546","150,800","143,575","368,289",,,
,,,,,,,,,,,,
 Congressional District 5,,,,,,,,,,,,
    Maricopa,113,,82,"83,267",341,"3,463","179,851","153,317","420,321",,,
    TOTALS,113,,82,"83,267",341,"3,463","179,851","153,317","420,321",,,
,,,,,,,,,,,,
 Congressional District 6,,,,,,,,,,,,
    Maricopa,156,,67,"95,399",443,"3,665","168,839","157,251","425,664",,,
