"office","state","jurisdiction","fipscode","clinton","trump","johnson","stein","other","totalvotes","dem.two.party"
"President","AL","Macon",108700000,7566,1431,69,49,25,9140,0.840946982327442
"President","AL","Madison",108900000,62822,89520,6621,1254,3172,163389,0.412374788305261
"President","AL","Marengo",109100000,5615,5233,104,13,29,10994,0.517606932153392
"President","AL","Marion",109300000,1432,11274,181,26,71,12984,0.112702660160554
"President","AL","Marshall",109500000,4917,29233,678,158,330,35316,0.14398243045388
"President","AL","Mobile",109700000,72186,95116,3291,791,1353,172737,0.431471231664893
"President","AL","Monroe",109900000,4332,5795,88,17,39,10271,0.427767354596623
"President","AL","Montgomery",110100000,58916,34003,1486,490,983,95878,0.634057620077702
"President","AL","Morgan",110300000,11254,37486,1168,218,518,50644,0.230898645876077
"President","AL","Perry",110500000,3824,1407,23,6,18,5278,0.731026572357102
"President","AL","Pickens",110700000,3972,5456,49,19,46,9542,0.421298260500636
"President","AL","Pike",110900000,5056,7693,257,48,114,13168,0.396580123931289
"President","AL","Randolph",111100000,2291,7705,124,19,48,10187,0.229191676670668
"President","AL","Russell",111300000,9579,9210,281,68,118,19256,0.50981957528341
"President","AL","Shelby",111700000,22977,73020,2965,480,1812,101254,0.239351229725929
"President","AL","St Clair",111500000,5589,31651,684,130,346,38400,0.150080558539205
"President","AL","Sumter",111900000,4746,1581,57,14,13,6411,0.750118539592224
"President","AL","Talladega",112100000,12121,20614,411,106,155,33407,0.370276462501909
"President","AL","Tallapoosa",112300000,5519,13594,233,52,88,19486,0.288756343849736
"President","AL","Tuscaloosa",112500000,31762,47723,1873,390,952,82700,0.399597408316034
"President","AL","Walker",112700000,4497,24266,455,95,159,29472,0.156346695407294
"President","AL","Washington",112900000,2374,6042,73,22,22,8533,0.28208174904943
"President","AL","Wilcox",113100000,4339,1742,22,7,13,6123,0.713533958230554
"President","AL","Winston",113300000,872,9228,131,29,53,10313,0.0863366336633663
"President","AR","Arkansas",500100000,1939,3826,126,64,257,6212,0.336339982653946
"President","AR","Ashley",500300000,2408,5338,156,34,147,8083,0.310870126516912
"President","AR","Baxter",500500000,4169,14682,452,140,323,19766,0.221155376372606
"President","AR","Benton",500700000,28005,60871,3871,949,3128,96824,0.315101939781268
"President","AR","Boone",500900000,2926,12235,379,134,437,16111,0.192995185014181
"President","AR","Bradley",501100000,1317,2164,73,16,83,3653,0.378339557598391
"President","AR","Calhoun",501300000,639,1556,44,3,27,2269,0.291116173120729
"President","AR","Carroll",501500000,3342,6786,238,210,182,10758,0.329976303317536
"President","AR","Chicot",501700000,2350,1716,35,15,60,4176,0.577963600590261
"President","AR","Clark",501900000,3620,4404,196,68,238,8526,0.451146560319043
"President","AR","Clay",502100000,1199,3781,100,35,85,5200,0.240763052208835
"President","AR","Cleburne",502300000,2101,9458,229,63,234,12085,0.181763128298296
"President","AR","Cleveland",502500000,723,2462,59,8,102,3354,0.227001569858713
"President","AR","Columbia",502700000,3140,5456,117,40,134,8887,0.365286179618427
"President","AR","Conway",502900000,2656,4849,171,43,208,7927,0.353897401732179
"President","AR","Craighead",503100000,10538,22892,1031,304,808,35573,0.315225845049357
"President","AR","Crawford",503300000,4488,16686,581,173,522,22450,0.211958061773874
"President","AR","Crittenden",503500000,8410,6964,242,96,240,15952,0.547027448939768
"President","AR","Cross",503700000,1999,4584,105,24,162,6874,0.303660944857968
"President","AR","Dallas",503900000,1165,1509,26,12,59,2771,0.43567688855647
"President","AR","Desha",504100000,2228,1919,44,4,62,4257,0.537255847600675
"President","AR","Drew",504300000,2365,3968,111,43,108,6595,0.373440707405653
"President","AR","Faulkner",504500000,14629,29346,1675,511,1366,47527,0.332666287663445
"President","AR","Franklin",504700000,1376,5039,177,34,144,6770,0.214497272018706
"President","AR","Fulton",504900000,1067,3471,107,41,86,4772,0.23512560599383
"President","AR","Garland",505100000,12311,26087,989,387,1031,40805,0.320615657065472
"President","AR","Grant",505300000,1373,5725,177,30,140,7445,0.193434770357847
"President","AR","Greene",505500000,3071,10720,404,97,308,14600,0.222681458922486
"President","AR","Hempstead",505700000,2377,4401,106,22,143,7049,0.350693419887873
"President","AR","Hot Spring",505900000,3149,8172,239,112,272,11944,0.278155639961134
"President","AR","Howard",506100000,1351,3157,60,22,84,4674,0.299689440993789
"President","AR","Independence",506300000,2881,9936,352,85,360,13614,0.224779589607552
"President","AR","Izard",506500000,1113,4042,125,45,123,5448,0.215906886517944
"President","AR","Jackson",506700000,1583,3267,111,26,169,5156,0.32639175257732
"President","AR","Jefferson",506900000,15772,9250,296,157,419,25894,0.630325313723923
"President","AR","Johnson",507100000,2427,6091,294,90,210,9112,0.284926038976285
"President","AR","Lafayette",507300000,1032,1758,26,5,39,2860,0.36989247311828
"President","AR","Lawrence",507500000,1263,4064,165,39,154,5685,0.237094049183405
"President","AR","Lee",507700000,1735,1229,22,6,34,3026,0.585357624831309
"President","AR","Lincoln",507900000,1252,2455,48,16,55,3826,0.337739411923388
"President","AR","Little River",508100000,1397,3605,85,14,126,5227,0.279288284686126
"President","AR","Logan",508300000,1715,5746,195,54,211,7921,0.229861948800429
"President","AR","Lonoke",508500000,5664,19958,767,172,539,27100,0.221060026539692
"President","AR","Madison",508700000,1588,4928,144,54,127,6841,0.243707796193984
"President","AR","Marion",508900000,1434,5336,157,56,124,7107,0.211816838995569
"President","AR","Miller",509100000,4273,11294,237,69,218,16091,0.274490910258881
"President","AR","Mississippi",509300000,5670,7061,181,65,227,13204,0.445369570340115
"President","AR","Monroe",509500000,1312,1489,37,9,37,2884,0.468404141378079
"President","AR","Montgomery",509700000,748,2643,52,33,83,3559,0.220583898554999
"President","AR","Nevada",509900000,1157,2000,35,6,48,3246,0.36648717136522
"President","AR","Newton",510100000,699,2875,49,69,61,3753,0.195579182988248
"President","AR","Ouachita",510300000,4321,5351,97,24,142,9935,0.446753515301902
"President","AR","Perry",510500000,1049,3008,113,38,98,4306,0.258565442445157
"President","AR","Phillips",510700000,4310,2446,62,20,115,6953,0.637951450562463
"President","AR","Pike",510900000,685,3150,73,8,65,3981,0.178617992177314
"President","AR","Poinsett",511100000,1880,5502,154,34,152,7722,0.254673530208616
"President","AR","Polk",511300000,1212,6618,164,56,181,8231,0.154789272030651
"President","AR","Pope",511500000,5000,16256,618,225,470,22569,0.235227700414001
"President","AR","Prairie",511700000,814,2505,56,10,59,3444,0.245254594757457
"President","AR","Pulaski",511900000,89574,61257,4328,1553,3064,159776,0.593869960419277
"President","AR","Randolph",512100000,1425,4509,203,53,189,6379,0.240141557128413
"President","AR","Saline",512500000,13256,35863,1466,326,1189,52100,0.269875201042367
"President","AR","Scott",512700000,602,2731,83,25,69,3510,0.180618061806181
"President","AR","Searcy",512900000,601,2955,68,18,86,3728,0.169010123734533
"President","AR","Sebastian",513100000,12300,29127,1630,481,1099,44637,0.296907813744659
"President","AR","Sevier",513300000,1075,3282,83,20,102,4562,0.246729400963966
"President","AR","Sharp",513500000,1472,5407,155,49,166,7249,0.213984590783544
"President","AR","St Francis",512300000,4031,3195,64,18,122,7430,0.557846664821478
"President","AR","Stone",513700000,1203,4113,0,62,199,5577,0.226297968397291
"President","AR","Union",513900000,5855,10456,275,70,238,16894,0.358960210900619
"President","AR","Van Buren",514100000,1549,5382,182,53,173,7339,0.223488674073005
"President","AR","Washington",514300000,33366,41476,3360,1316,2343,81861,0.445819192432057
"President","AR","White",514500000,5170,21077,695,151,906,27999,0.196974892368652
"President","AR","Woodruff",514700000,1118,1347,45,12,49,2571,0.453549695740365
"President","AR","Yell",514900000,1480,4608,157,47,147,6439,0.243101182654402
"President","AZ","Apache",400100000,17083,8240,1221,469,106,27119,0.674604114836315
"President","AZ","Cochise",400300000,17450,28092,2394,993,455,49384,0.383162794782838
"President","AZ","Coconino",400500000,32404,21108,2978,1414,536,58440,0.605546419494693
"President","AZ","Gila",400700000,7003,14182,803,212,112,22312,0.330564078357328
"President","AZ","Graham",400900000,3301,8025,497,116,195,12134,0.291453293307434
"President","AZ","Greenlee",401100000,1092,1892,200,59,27,3270,0.365951742627346
"President","AZ","LaPaz",401200000,1575,4003,211,73,15,5877,0.282359268555038
"President","AZ","Maricopa",401300000,702907,747361,67043,19432,12355,1549098,0.484673867174895
"President","AZ","Mohave",401500000,17455,58282,2639,740,230,79346,0.230468595270475
"President","AZ","Navajo",401700000,16459,20577,1410,703,505,39654,0.444405443352414
"President","AZ","Pima",401900000,224661,167428,15620,6200,2509,416418,0.572984705003201
"President","AZ","Pinal",402100000,47892,72819,5010,1476,1057,128254,0.396749260630763
"President","AZ","SantaCruz",402300000,11690,3897,432,221,47,16287,0.749983960993135
"President","AZ","Yavapai",402500000,35590,71330,3996,1588,652,113156,0.332865693976805
"President","AZ","Yuma",402700000,24605,225165,1873,649,124,252416,0.098510629779397
"President","CA","Alameda",600100000,514842,95922,16906,17830,8766,654266,0.842947521464919
"President","CA","Alpine",600300000,334,217,25,21,5,602,0.606170598911071
"President","CA","Amador",600500000,6004,10485,804,227,214,17734,0.364121535569167
"President","CA","Butte",600700000,41567,45144,4625,2594,1634,95564,0.479374012524363
"President","CA","Calaveras",600900000,7944,13511,1104,424,153,23136,0.37026334187835
"President","CA","Colusa",601100000,2661,3551,260,85,75,6632,0.428364455891822
"President","CA","Contra Costa",601300000,319287,115956,16123,8637,6172,466175,0.733583308634487
"President","CA","Del Norte",601500000,3485,5134,416,245,278,9558,0.404339250493097
"President","CA","El Dorado",601700000,36404,49247,5027,1425,1488,93591,0.425027145042089
"President","CA","Fresno",601900000,141341,124049,9246,4300,3383,282319,0.53257846942236
"President","CA","Glenn",602100000,3065,5788,375,97,145,9470,0.346210324183892
"President","CA","Humboldt",602300000,33200,18373,2163,3681,1829,59246,0.643747697438582
"President","CA","Imperial",602500000,32667,12704,1221,745,754,48091,0.719997355138745
"President","CA","Inyo",602700000,3155,4248,328,214,141,8086,0.42617857625287
"President","CA","Kern",602900000,98689,129584,9359,2887,3644,244163,0.432328834334328
"President","CA","Kings",603100000,13617,18093,1338,411,456,33915,0.429422894985809
"President","CA","Lake",603300000,11496,10599,1095,930,376,24496,0.520298710115411
"President","CA","Lassen",603500000,2224,7574,473,105,148,10524,0.226985098999796
"President","CA","Los Angeles",603700000,2464364,769743,88968,76465,34768,3434308,0.761992104775754
"President","CA","Madera",603900000,17029,23357,1558,644,524,43112,0.421656019412668
"President","CA","Marin",604100000,108707,21771,4180,3109,1506,139273,0.833144284860283
"President","CA","Mariposa",604300000,3122,5185,326,189,55,8877,0.375827615264235
"President","CA","Mendocino",604500000,22079,10888,1331,2108,1071,37477,0.669730336397003
"President","CA","Merced",604700000,37317,28725,2410,1209,1128,70789,0.565049513945671
"President","CA","Modoc",604900000,877,2696,122,50,43,3788,0.245452001119507
"President","CA","Mono",605100000,2773,2111,222,142,28,5276,0.567772317772318
"President","CA","Monterey",605300000,89088,34895,4547,2823,2055,133408,0.718550123807296
"President","CA","Napa",605500000,39199,17411,2551,1262,949,61372,0.692439498321851
"President","CA","Nevada",605700000,26053,23365,2378,2189,950,54935,0.527196568052127
"President","CA","Orange",605900000,609961,507148,46128,18068,16216,1197521,0.546017443239648
"President","CA","Placer",606100000,73509,95138,9245,2501,2446,182839,0.43587493403381
"President","CA","Plumas",606300000,3459,5420,411,186,200,9676,0.389570897623606
"President","CA","Riverside",606500000,373695,333243,24089,11320,9044,751391,0.528610712679188
"President","CA","Sacramento",606700000,326023,189789,24412,9846,9260,559330,0.632057804006111
"President","CA","San Benito",606900000,12521,7841,815,364,383,21924,0.614919948924467
"President","CA","San Bernardino",607100000,340833,271240,21050,10604,10256,653983,0.556850244987118
"President","CA","San Diego",607300000,735476,477766,51663,22820,18675,1306400,0.60620717053976
"President","CA","San Francisco",607500000,345084,37688,8883,9904,4233,405792,0.901539297545275
"President","CA","San Joaquin",607700000,121124,88936,8049,3134,2923,224166,0.57661620489384
"President","CA","San Luis Obispo",607900000,67107,56164,6473,2848,2417,135009,0.544385946410754
"President","CA","San Mateo",608100000,237882,57929,9464,5102,4007,314384,0.80416887810122
"President","CA","Santa Barbara",608300000,107142,56365,6748,3719,2812,176786,0.655274697719364
"President","CA","Santa Clara",608500000,511684,144826,25325,12664,9210,703709,0.779400161459841
"President","CA","Santa Cruz",608700000,95249,22438,4325,4485,2324,128821,0.80934172848318
"President","CA","Shasta",608900000,22301,51778,3382,1300,1292,80053,0.30104348060854
"President","CA","Sierra",609100000,601,1048,98,42,41,1830,0.364463311097635
"President","CA","Siskiyou",609300000,7234,11341,875,575,467,20492,0.389448183041723
"President","CA","Solano",609500000,102360,51920,6254,2771,2808,166113,0.663469017371014
"President","CA","Sonoma",609700000,160435,51408,8987,7347,3076,231253,0.757329720594969
"President","CA","Stanislaus",609900000,81647,78494,6662,2562,2781,172146,0.509844449578809
"President","CA","Sutter",610100000,13076,18176,1437,382,452,33523,0.418405222065788
"President","CA","Tehama",610300000,6809,15494,953,290,362,23908,0.305295251759853
"President","CA","Trinity",610500000,2214,2812,302,239,119,5686,0.440509351372861
"President","CA","Tulare",610700000,47585,58299,3800,1620,1030,112334,0.449406898114918
"President","CA","Tuolumne",610900000,9123,14551,1101,384,370,25529,0.385359466080933
"President","CA","Ventura",611100000,194402,132323,13679,6315,5007,351726,0.595001912923713
"President","CA","Yolo",611300000,54752,20739,3346,1779,1474,82090,0.725278510021062
"President","CA","Yuba",611500000,7910,13170,1063,438,417,22998,0.375237191650854
"President","CO","Adams",800100000,96558,80082,9893,2703,4429,193665,0.54663722826087
"President","CO","Alamosa",800300000,3189,3046,405,117,182,6939,0.511467522052927
"President","CO","Arapahoe",800500000,159885,117053,16002,3829,6277,303046,0.577331388252966
"President","CO","Archuleta",800700000,2500,4264,331,116,128,7339,0.369603784742756
"President","CO","Baca",800900000,283,1753,51,18,48,2153,0.138998035363458
"President","CO","Bent",801100000,590,1188,83,20,46,1927,0.331833520809899
"President","CO","Boulder",801300000,132334,41396,8034,3733,2645,188142,0.761722212628792
"President","CO","Broomfield",801400000,19731,14367,2174,497,920,37689,0.578655639626958
"President","CO","Chaffee",801500000,4888,5391,537,198,236,11250,0.475532639361806
"President","CO","Cheyenne",801700000,132,925,31,4,10,1102,0.124881740775781
"President","CO","Clear Creek",801900000,2729,2575,365,118,79,5866,0.514517345399698
"President","CO","Conejos",802100000,1771,1914,166,24,147,4022,0.480597014925373
"President","CO","Costilla",802300000,1125,588,83,19,33,1848,0.656742556917688
"President","CO","Crowley",802500000,339,1079,63,11,35,1527,0.239069111424542
"President","CO","Custer",802700000,797,2061,141,24,43,3066,0.278866340097971
"President","CO","Delta",802900000,4087,11655,475,255,318,16790,0.259623935967476
"President","CO","Denver",803100000,244551,62690,14861,5580,4170,331852,0.79595822172171
"President","CO","Dolores",803300000,242,944,31,13,25,1255,0.204047217537943
"President","CO","Douglas",803500000,68657,102573,10212,1477,4580,187499,0.400963616188752
"President","CO","Eagle",803700000,14099,8990,1368,423,343,25223,0.61063709991771
"President","CO","El Paso",804100000,108010,179228,19877,4093,7759,318967,0.37602963396208
"President","CO","Elbert",803900000,3134,11705,666,138,335,15978,0.211200215647955
"President","CO","Fremont",804300000,5297,15122,890,243,421,21973,0.259415250501983
"President","CO","Garfield",804500000,11271,13132,1135,468,464,26470,0.461869442281687
"President","CO","Gilpin",804700000,1634,1566,193,122,61,3576,0.510625
"President","CO","Grand",804900000,3358,4494,487,128,121,8588,0.427661742231279
"President","CO","Gunnison",805100000,5128,3289,595,249,151,9412,0.609243198289177
"President","CO","Hinsdale",805300000,197,339,27,11,15,589,0.367537313432836
"President","CO","Huerfano",805500000,1633,1883,151,48,68,3783,0.464448236632537
"President","CO","Jackson",805700000,171,629,41,7,13,861,0.21375
"President","CO","Jefferson",805900000,160776,138177,18537,4579,6813,328882,0.537796911220158
"President","CO","Kiowa",806100000,91,728,24,1,11,855,0.111111111111111
"President","CO","Kit Carson",806300000,536,2967,95,16,88,3702,0.153011704253497
"President","CO","La Plata",806700000,15525,12587,1878,665,495,31150,0.552255264655663
"President","CO","Lake",806500000,1616,1270,173,78,62,3199,0.55994455994456
"President","CO","Larimer",806900000,93113,83430,11510,3203,4724,195980,0.527423913720737
"President","CO","Las Animas",807100000,2650,3710,251,62,120,6793,0.416666666666667
"President","CO","Lincoln",807300000,409,1892,77,9,49,2436,0.177748804867449
"President","CO","Logan",807500000,1851,7282,319,65,205,9722,0.202671630351473
"President","CO","Mesa",807700000,21729,49779,3675,712,1758,77653,0.303868098674274
"President","CO","Mineral",807900000,237,344,42,11,18,652,0.407917383820998
"President","CO","Moffat",808100000,874,5305,179,31,136,6525,0.141446836057614
"President","CO","Montezuma",808300000,3973,7853,544,235,253,12858,0.335954676137325
"President","CO","Montrose",808500000,5466,14382,735,138,465,21186,0.275392986698912
"President","CO","Morgan",808700000,3151,8145,350,80,234,11960,0.278948300283286
"President","CO","Otero",808900000,2943,4928,320,57,204,8452,0.373904205310634
"President","CO","Ouray",809100000,1697,1351,150,61,51,3310,0.556758530183727
"President","CO","Park",809300000,3421,6135,509,169,183,10417,0.357994976977815
"President","CO","Phillips",809500000,436,1791,60,9,36,2332,0.195779074988774
"President","CO","Pitkin",809700000,7333,2550,374,186,80,10523,0.741981179803703
"President","CO","Prowers",809900000,1186,3531,155,30,114,5016,0.251430994276023
"President","CO","Pueblo",810100000,35875,36265,4072,942,1492,78646,0.497296922650402
"President","CO","Rio Blanco",810300000,436,2791,118,16,89,3450,0.13511000929656
"President","CO","Rio Grande",810500000,2001,3085,232,61,155,5534,0.393432953204876
"President","CO","Routt",810700000,7600,5230,722,206,228,13986,0.592361652377241
"President","CO","Saguache",810900000,1417,1147,92,129,50,2835,0.552652106084243
"President","CO","San Juan",811100000,265,215,17,4,5,506,0.552083333333333
"President","CO","San Miguel",811300000,2975,1033,154,128,39,4329,0.742265469061876
"President","CO","Sedgwick",811500000,267,1015,28,21,33,1364,0.208268330733229
"President","CO","Summit",811700000,9557,5100,1000,302,215,16174,0.652043392235792
"President","CO","Teller",811900000,3603,9745,674,165,257,14444,0.269928079112976
"President","CO","Washington",812100000,296,2299,82,11,45,2733,0.114065510597303
"President","CO","Weld",812300000,46519,76651,7487,1353,3418,135428,0.377681253552001
"President","CO","Yuma",812500000,726,3850,118,16,81,4791,0.158653846153846
"President","CT","Andover",901301080,896,891,79,42,0,1908,0.501398992725238
"President","CT","Ansonia",900901220,3532,3621,209,112,4,7478,0.493778834055641
"President","CT","Ashford",901501430,1112,1042,108,63,7,2332,0.516248839368617
"President","CT","Avon",900302060,5675,4390,361,141,35,10602,0.563835072031793
"President","CT","Barkhamsted",900502760,905,1157,94,37,7,2200,0.438894277400582
"President","CT","Beacon Falls",900903250,1146,2002,134,46,4,3332,0.364040660736976
"President","CT","Berlin",900304300,4913,6210,326,142,10,11601,0.441697383799335
"President","CT","Bethany",900904580,1580,1646,112,39,3,3380,0.489770613763174
"President","CT","Bethel",900104720,4777,4575,318,152,24,9846,0.510799828913601
"President","CT","Bethlehem",900504930,801,1405,59,47,5,2317,0.36310063463282
"President","CT","Bloomfield",900305910,9637,1683,183,124,12,11639,0.851325088339223
"President","CT","Bolton",901306260,1385,1436,120,49,12,3002,0.490960652250975
"President","CT","Bozrah",901106820,536,764,58,31,1,1390,0.412307692307692
"President","CT","Branford",900907310,8453,6585,344,201,22,15605,0.562109323048278
"President","CT","Bridgeport",900108070,32035,6596,428,490,11,39560,0.829256296756491
"President","CT","Bridgewater",900508210,518,571,33,17,2,1141,0.475665748393021
"President","CT","Bristol",900308490,12499,12752,734,436,34,26455,0.494990297413964
"President","CT","Brookfield",900108980,4216,4973,279,103,9,9580,0.458809446076831
"President","CT","Brooklyn",901509190,1462,2052,141,60,5,3720,0.416050085372795
"President","CT","Burlington",900310100,2352,2773,201,56,3,5385,0.458926829268293
"President","CT","Canaan",900510940,357,203,23,9,0,592,0.6375
"President","CT","Canterbury",901512130,932,1609,111,50,10,2712,0.366784730421094
"President","CT","Canton",900312270,3100,2601,187,100,14,6002,0.543764251885634
"President","CT","Chaplin",901513810,434,624,55,34,4,1151,0.410207939508507
"President","CT","Cheshire",900914160,7572,7105,538,189,17,15421,0.51590924575867
"President","CT","Chester",900714300,1365,781,82,41,4,2273,0.636067101584343
"President","CT","Clinton",900715350,3493,3415,176,98,9,7191,0.505645628257093
"President","CT","Colchester",901115910,3898,4108,407,143,35,8591,0.48688483637272
"President","CT","Colebrook",900516050,324,528,28,18,1,899,0.380281690140845
"President","CT","Columbia",901316400,1558,1500,151,64,11,3284,0.509483322432963
"President","CT","Cornwall",900517240,622,248,27,26,0,923,0.714942528735632
"President","CT","Coventry",901317800,3083,3262,314,112,12,6783,0.485894405043341
"President","CT","Cromwell",900718080,3808,3486,289,111,20,7714,0.522072936660269
"President","CT","Danbury",900118500,16084,11626,749,379,11,28849,0.580440274269217
"President","CT","Darien",900118850,5942,4625,586,80,32,11265,0.562316646162582
"President","CT","Deep River",900719130,1412,1077,74,41,2,2606,0.567296102852551
"President","CT","Derby",900919550,2332,2651,109,58,0,5150,0.467991169977925
"President","CT","Durham",900720810,1898,2156,158,63,6,4281,0.468179575727676
"President","CT","East Granby",900322070,1389,1371,149,36,5,2950,0.503260869565217
"President","CT","East Haddam",900722280,2331,2487,164,95,10,5087,0.483810709838107
"President","CT","East Hampton",900722490,3210,3648,277,88,22,7245,0.468066491688539
"President","CT","East Hartford",900322630,13180,5213,406,233,15,19047,0.716576958625564
