,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Andover,Tolland,2,546,7,553,702,12,714,22,0,22,G IT L,943,25,968,2213,44,2257
Ansonia,New Haven,3,1341,60,1401,3688,182,3870,9,1,10,C G IT,4820,259,5079,9858,502,10360
Ashford,Windham,2,513,17,530,1024,29,1053,24,1,25,G IT L,1309,34,1343,2870,81,2951
Avon,Hartford,5,4095,166,4261,3499,183,3682,38,1,39,G IT L,4976,312,5288,12608,662,13270
Barkhamsted,Litchfield,1,739,9,748,703,16,719,25,1,26,G IT L,1229,24,1253,2696,50,2746
Beacon Falls,New Haven,3,891,21,912,1015,43,1058,35,0,35,G IT L,1921,93,2014,3862,157,4019
Berlin,Hartford,1,3169,55,3224,5141,96,5237,58,2,60,C CFL G IT L,5195,181,5376,13563,334,13897
Bethany,New Haven,3,1017,40,1057,1023,40,1063,47,2,49,G IT L,1865,72,1937,3952,154,4106
Bethel,Fairfield,5,3091,78,3169,2965,112,3077,166,8,174,G IT L PRO WF,5337,232,5569,11559,430,11989
Bethlehem,Litchfield,5,832,9,841,673,13,686,20,1,21,C G IT L,1277,32,1309,2802,55,2857
Bloomfield,Hartford,1,1581,81,1662,8872,370,9242,59,0,59,C CFL G IT L WF,4539,241,4780,15051,692,15743
Bolton,Tolland,2,925,44,969,1035,71,1106,40,1,41,G IT L,1395,148,1543,3395,264,3659
Bozrah,New London,2,331,8,339,588,15,603,33,0,33,CFL IT L,737,28,765,1689,51,1740
Branford,New Haven,3,2958,207,3165,6121,395,6516,61,5,66,G I IT L,9270,825,10095,18410,1432,19842
Bridgeport,Fairfield,4,4579,315,4894,46107,2852,48959,269,15,284,C G I IT L RF WF,20451,1580,22031,71406,4762,76168
Bridgewater,Litchfield,5,409,3,412,395,6,401,8,0,8,G IT L,443,11,454,1255,20,1275
Bristol,Hartford,1,6047,147,6194,13908,391,14299,268,4,272,C CFL G I IT L RF,14570,547,15117,34793,1089,35882
Brookfield,Fairfield,5,3704,189,3893,2230,147,2377,147,10,157,G IT L,4564,421,4985,10645,767,11412
Brooklyn,Windham,2,979,24,1003,1370,57,1427,73,0,73,G IT L WF,2425,96,2521,4847,177,5024
Burlington,Hartford,5,1738,0,1738,1728,1,1729,40,0,40,G IT L,2810,1,2811,6316,2,6318
Canaan,Litchfield,5,195,5,200,262,7,269,4,0,4,G,300,12,312,761,24,785
Canterbury,Windham,2,987,30,1017,767,42,809,35,0,35,CF G IT L,1583,90,1673,3372,162,3534
Canton,Hartford,5,2106,75,2181,2160,82,2242,67,1,68,G IT L,2746,174,2920,7079,332,7411
Chaplin,Windham,2,424,6,430,401,12,413,1,1,2,G,520,23,543,1346,42,1388
Cheshire,New Haven,5,4562,116,4678,4898,156,5054,131,6,137,C CFL G I IT L WF,9211,269,9480,18802,547,19349
Chester,Middlesex,2,504,22,526,945,49,994,30,1,31,G IT L,1073,88,1161,2552,160,2712
Clinton,Middlesex,2,2312,45,2357,2558,51,2609,128,0,128,G IT L,4327,79,4406,9325,175,9500
Colchester,New London,2,2180,61,2241,2999,112,3111,79,1,80,CFL G IT L,4798,194,4992,10056,368,10424
Colebrook,Litchfield,1,285,2,287,303,8,311,17,0,17,G IT L WF,492,7,499,1097,17,1114
Columbia,Tolland,2,836,23,859,1229,45,1274,149,0,149,G IT L WF,1439,55,1494,3653,123,3776
Cornwall,Litchfield,5,194,7,201,411,21,432,7,0,7,G L,427,33,460,1039,61,1100
Coventry,Tolland,2,1599,105,1704,2298,167,2465,49,6,55,G IT L WF,3747,532,4279,7693,810,8503
Cromwell,Middlesex,1,2018,68,2086,3275,118,3393,97,9,106,G IT L,4120,161,4281,9510,356,9866
Danbury,Fairfield,5,7011,301,7312,11049,602,11651,493,24,517,G IT L RF,16675,1079,17754,35228,2006,37234
Darien,Fairfield,4,6295,145,6440,2437,73,2510,21,0,21,C G L,4347,197,4544,13100,415,13515
Deep River,Middlesex,2,620,16,636,1064,45,1109,17,4,21,CFL G IT L,1496,70,1566,3197,135,3332
Derby,New Haven,3,976,35,1011,2664,107,2771,42,1,43,G L,2917,140,3057,6599,283,6882
Durham,Middlesex,3,1406,34,1440,1233,39,1272,33,1,34,G IT L,2448,76,2524,5120,150,5270
East Granby,Hartford,1,1012,11,1023,995,19,1014,32,3,35,G IT L,1504,46,1550,3543,79,3622
East Haddam,Middlesex,2,1285,31,1316,1803,41,1844,75,5,80,G IT L WF,2712,87,2799,5875,164,6039
East Hampton,Middlesex,2,1809,77,1886,2535,131,2666,83,4,87,G I IT L,4109,235,4344,8536,447,8983
East Hartford,Hartford,1,2817,106,2923,13610,569,14179,141,5,146,CFL G IT L WF,11184,554,11738,27752,1234,28986
East Haven,New Haven,3,2575,145,2720,5496,401,5897,96,3,99,CFL G I IT L RF WF,7352,570,7922,15519,1119,16638
East Lyme,New London,2,2793,80,2873,3680,149,3829,30,0,30,G IT L WF,5692,242,5934,12195,471,12666
East Windsor,Hartford,1,1460,48,1508,2369,106,2475,49,1,50,G L,3499,218,3717,7377,373,7750
