,,,Republican Party,,,Democratic Party,,,Minor Parties,,,,Unaffiliated,,,Totals,,
Town,County,C D,Active,Inactive,Total,Active,Inactive,Total,Active,Inactive,Total,M Notes,Active,Inactive,Total,Active,Inactive,Totals
Andover,Tolland,2,538,12,550,697,14,711,21,0,21,G IT L,935,42,977,2191,68,2259
Ansonia,New Haven,3,1364,84,1448,3612,207,3819,11,0,11,G IT,4805,316,5121,9792,607,10399
Ashford,Windham,2,495,22,517,1004,39,1043,25,1,26,G IT L,1287,52,1339,2811,114,2925
Avon,Hartford,5,3905,223,4128,3331,246,3577,43,5,48,G IT L,4663,483,5146,11942,957,12899
Barkhamsted,Litchfield,1,725,11,736,693,16,709,23,3,26,G IT L,1205,34,1239,2646,64,2710
Beacon Falls,New Haven,3,891,27,918,990,44,1034,39,0,39,G IT L,1941,110,2051,3861,181,4042
Berlin,Hartford,1,3035,132,3167,4875,215,5090,58,4,62,G IT L,4919,410,5329,12887,761,13648
Bethany,New Haven,3,1010,35,1045,1031,39,1070,48,2,50,G IT L,1875,66,1941,3964,142,4106
Bethel,Fairfield,5,3020,82,3102,2933,111,3044,164,8,172,G IT L PRO WF,5311,225,5536,11428,426,11854
Bethlehem,Litchfield,5,826,7,833,657,9,666,25,1,26,G IT L,1268,30,1298,2776,47,2823
Bloomfield,Hartford,1,1365,219,1584,7790,1258,9048,60,1,61,G IT L WF,3557,1128,4685,12772,2606,15378
Bolton,Tolland,2,906,36,942,1002,58,1060,38,2,40,G IT L,1385,86,1471,3331,182,3513
Bozrah,New London,2,322,13,335,621,19,640,41,2,43,IT L,724,40,764,1708,74,1782
Branford,New Haven,3,2888,190,3078,5999,353,6352,65,3,68,G I IT L,9187,667,9854,18139,1213,19352
Bridgeport,Fairfield,4,4403,248,4651,45536,2276,47812,264,11,275,G I IT L RF WF,20148,1243,21391,70351,3778,74129
Bridgewater,Litchfield,5,423,3,426,405,3,408,14,0,14,G IT L,489,6,495,1331,12,1343
Bristol,Hartford,1,5642,440,6082,12851,1097,13948,278,12,290,G I IT L RF,13098,1959,15057,31869,3508,35377
Brookfield,Fairfield,5,3443,297,3740,2077,224,2301,138,26,164,G IT L,4078,721,4799,9736,1268,11004
Brooklyn,Windham,2,958,33,991,1330,80,1410,73,2,75,G IT L WF,2394,144,2538,4755,259,5014
Burlington,Hartford,5,1669,13,1682,1670,18,1688,39,3,42,G IT L,2747,38,2785,6125,72,6197
Canaan,Litchfield,5,193,3,196,254,7,261,4,0,4,G,305,9,314,756,19,775
Canterbury,Windham,2,990,29,1019,751,40,791,33,0,33,G IT L,1591,90,1681,3365,159,3524
Canton,Hartford,5,2056,60,2116,2121,76,2197,69,2,71,G IT L,2727,128,2855,6973,266,7239
Chaplin,Windham,2,425,5,430,404,11,415,1,0,1,G,525,18,543,1355,34,1389
Cheshire,New Haven,5,4480,112,4592,4859,133,4992,148,8,156,G I IT L WF,9222,282,9504,18709,535,19244
Chester,Middlesex,2,475,21,496,905,55,960,28,2,30,G IT L,1038,83,1121,2446,161,2607
Clinton,Middlesex,2,2255,50,2305,2531,54,2585,133,1,134,G IT L,4287,85,4372,9206,190,9396
Colchester,New London,2,2172,49,2221,3000,89,3089,82,1,83,L G IT L,4855,143,4998,10109,282,10391
Colebrook,Litchfield,1,284,2,286,284,3,287,17,0,17,G IT L WF,494,6,500,1079,11,1090
Columbia,Tolland,2,809,40,849,1187,49,1236,226,2,228,G IT L WF,1331,47,1378,3553,138,3691
Cornwall,Litchfield,5,187,4,191,391,18,409,6,0,6,G L,401,38,439,985,60,1045
Coventry,Tolland,2,1593,93,1686,2247,153,2400,45,5,50,G IT L WF,3736,448,4184,7621,699,8320
Cromwell,Middlesex,1,1971,63,2034,3191,122,3313,94,9,103,G IT L,4046,160,4206,9302,354,9656
Danbury,Fairfield,5,6754,236,6990,10732,534,11266,490,24,514,G IT L RF,16303,933,17236,34279,1727,36006
Darien,Fairfield,4,5924,283,6207,2276,175,2451,31,2,33,G L,4020,478,4498,12251,938,13189
Deep River,Middlesex,2,610,14,624,1032,46,1078,23,2,25,G IT L,1472,59,1531,3137,121,3258
Derby,New Haven,3,950,36,986,2633,92,2725,47,2,49,G L,2925,146,3071,6555,276,6831
Durham,Middlesex,3,1378,34,1412,1219,42,1261,33,1,34,G IT L,2457,79,2536,5087,156,5243
East Granby,Hartford,1,977,18,995,978,25,1003,33,1,34,G IT L,1476,59,1535,3464,103,3567
East Haddam,Middlesex,2,1268,32,1300,1755,46,1801,46,3,49,G IT L WF,2698,103,2801,5767,184,5951
East Hampton,Middlesex,2,1758,50,1808,2488,110,2598,85,6,91,G I IT L,4089,164,4253,8420,330,8750
East Hartford,Hartford,1,2708,103,2811,13143,609,13752,128,5,133,G IT L WF,10922,664,11586,26901,1381,28282
East Haven,New Haven,3,2456,175,2631,5712,427,6139,142,5,147,G I IT L RF WF,6838,723,7561,15148,1330,16478
East Lyme,New London,2,2744,76,2820,3594,148,3742,27,2,29,G IT L WF,5687,218,5905,12052,444,12496
East Windsor,Hartford,1,1430,31,1461,2330,75,2405,53,0,53,G L,3450,125,3575,7263,231,7494
Eastford,Windham,4,412,10,422,302,5,307,5,0,5,G IT L,458,12,470,1177,27,1204
Easton,Fairfield,4,1704,69,1773,1140,55,1195,35,4,39,G IT L WF,2290,111,2401,5169,239,5408
Ellington,Tolland,2,2238,67,2305,2342,77,2419,117,7,124,G IT L,4886,183,5069,9583,334,9917
Enfield,Hartford,2,4496,745,5241,7765,1360,9125,385,51,436,ETP G I IT L WF,8835,2821,11656,21481,4977,26458
Essex,Middlesex,2,1330,35,1365,1428,55,1483,35,2,37,G IT L,1819,98,1917,4612,190,4802
Fairfield,Fairfield,4,10694,691,11385,10273,745,11018,322,18,340,G I IT L RF WF,15523,1270,16793,36812,2724,39536
Farmington,Hartford,5,4444,160,4604,5284,256,5540,153,5,158,G I IT L WF,7346,382,7728,17227,803,18030
Franklin,New London,2,305,12,317,346,18,364,11,1,12,G IT L,551,50,601,1213,81,1294
Glastonbury,Hartford,"1,2",5705,261,5966,7020,408,7428,153,1,154,G IT L,8903,621,9524,21781,1291,23072
Goshen,Litchfield,5,802,14,816,518,16,534,24,0,24,G IT L,827,38,865,2171,68,2239
Granby,Hartford,1,2275,135,2410,1875,128,2003,79,10,89,G IT L,2878,292,3170,7107,565,7672
Greenwich,Fairfield,4,12401,1467,13868,7862,1418,9280,344,31,375,G I IT L WF,11516,2715,14231,32123,5631,37754
Griswold,New London,2,1312,83,1395,2287,147,2434,111,6,117,G IT L,2965,263,3228,6675,499,7174
Groton,New London,2,3746,333,4079,5601,499,6100,120,3,123,G IT L WF,9610,1073,10683,19077,1908,20985
Guilford,New Haven,3,3326,206,3532,4972,348,5320,70,4,74,G I IT L RF,6425,685,7110,14793,1243,16036
Haddam,Middlesex,2,1318,48,1366,1734,61,1795,32,0,32,G I IT L RF,2766,157,2923,5850,266,6116
Hamden,New Haven,3,4020,180,4200,16158,664,16822,262,6,268,G I IT L RF,13128,669,13797,33568,1519,35087
Hampton,Windham,2,330,16,346,389,45,434,16,3,19,G IT L THP,459,77,536,1194,141,1335
Hartford,Hartford,1,1732,428,2160,34324,7397,41721,285,17,302,G IT L WF,10700,3237,13937,47041,11079,58120
Hartland,Hartford,1,619,7,626,334,8,342,28,0,28,G IT,555,11,566,1536,26,1562
Harwinton,Litchfield,5,1201,31,1232,944,39,983,36,2,38,G I IT L,1883,89,1972,4064,161,4225
Hebron,Tolland,2,1586,18,1604,1768,16,1784,21,1,22,G IT L,3052,32,3084,6427,67,6494
Kent,Litchfield,5,465,17,482,734,37,771,3,0,3,G,734,34,768,2043,92,2135
Killingly,Windham,2,1563,52,1615,2487,81,2568,110,4,114,IT,5066,192,5258,9142,326,9468
Killingworth,Middlesex,2,1288,61,1349,1061,59,1120,26,1,27,G IT L WF,1894,180,2074,4289,301,4590
Lebanon,New London,2,1181,34,1215,1222,41,1263,46,1,47,G IT L WF,2222,96,2318,4940,189,5129
Ledyard,New London,2,2392,119,2511,2332,115,2447,315,18,333,G IT L WF,3955,230,4185,8696,464,9160
Lisbon,New London,2,523,12,535,857,35,892,17,0,17,G IT L,1212,64,1276,2651,116,2767
Litchfield,Litchfield,5,1977,100,2077,1618,87,1705,59,5,64,G IT L WF,2390,161,2551,6002,348,6350
Lyme,New London,2,546,11,557,539,16,555,17,0,17,G IT L,704,40,744,1873,68,1941
Madison,New Haven,2,4138,150,4288,3536,134,3670,84,1,85,G IT L,5570,240,5810,13696,610,14306
Manchester,Hartford,1,4880,822,5702,10862,2079,12941,452,86,538,G I IT L RF,10844,3128,13972,26726,6048,32774
Mansfield,Tolland,2,1422,375,1797,4509,1138,5647,140,19,159,G IT L WF,5207,2195,7402,11209,3710,14919
Marlborough,Hartford,2,1043,20,1063,1262,37,1299,71,2,73,G IT L,1779,61,1840,4265,135,4400
Meriden,New Haven,5,3995,373,4368,10385,1396,11781,181,17,198,G IT L,14991,2478,17469,29420,4247,33667
Middlebury,New Haven,5,2346,54,2400,1070,25,1095,49,0,49,G L,1732,42,1774,5165,121,5286
Middlefield,Middlesex,3,626,16,642,987,35,1022,17,0,17,G IT L,1574,47,1621,3443,132,3575
Middletown,Middlesex,"1,3",3325,425,3750,10412,2157,12569,256,34,290,G IT L WF,8003,1993,9996,22021,4584,26605
Milford,New Haven,3,7051,227,7278,9251,344,9595,281,9,290,G IT L,16636,632,17268,33009,1209,34218
Monroe,Fairfield,4,3165,246,3411,2378,240,2618,71,6,77,F G I IT L MIP RF WF,6159,992,7151,11783,1480,13263
Montville,New London,2,1700,56,1756,2787,79,2866,81,2,83,G IT L,5232,175,5407,9731,311,10042
Morris,Litchfield,5,635,17,652,380,15,395,12,1,13,G IM IT L,680,31,711,1942,76,2018
Naugatuck,New Haven,3,3342,113,3455,5759,221,5980,247,13,260,G IT L,8126,364,8490,17542,795,18337
New Britain,Hartford,5,2782,597,3379,13476,4497,17973,315,97,412,G IT L WF,8394,4938,13332,24703,10040,34743
New Canaan,Fairfield,4,6651,268,6919,2568,159,2727,51,8,59,G I IT L RF WF,3661,339,4000,13021,767,13788
New Fairfield,Fairfield,5,2949,12,2961,1998,12,2010,141,1,142,G IT L,4479,26,4505,9534,51,9585
New Hartford,Litchfield,1,1353,30,1383,1218,27,1245,108,1,109,G IT L WF,1899,61,1960,4815,137,4952
New Haven,New Haven,3,2573,327,2900,50563,3874,54437,345,19,364,G IT L,18746,1706,20452,72016,5910,77926
New London,New London,2,1321,46,1367,6587,255,6842,134,3,137,G IT L RF WF,6002,292,6294,14156,602,14758
New Milford,Litchfield,5,4928,204,5132,4225,224,4449,246,9,255,G IT L,8947,466,9413,18336,917,19253
Newington,Hartford,1,3016,284,3300,7376,593,7969,236,23,259,G I IT L RF WF,6696,980,7676,17406,1865,19271
Newtown,Fairfield,5,5317,72,5389,4528,95,4623,318,8,326,G IT L WF,7203,159,7362,17061,326,17387
Norfolk,Litchfield,5,219,7,226,392,6,398,13,0,13,G IT L WF,506,22,528,1160,35,1195
North Branford,New Haven,3,1811,30,1841,2090,37,2127,43,0,43,L,4972,108,5080,8891,175,9066
North Canaan,Litchfield,5,461,0,461,471,0,471,18,0,18,G IT L,1015,0,1015,2014,3,2017
North Haven,New Haven,3,3668,95,3763,3762,150,3912,67,3,70,G IT L WF,7844,366,8210,15300,611,15911
North Stonington,New London,2,1065,3,1068,926,12,938,26,0,26,G IT L,1765,13,1778,4680,111,4791
Norwalk,Fairfield,4,8678,711,9389,16133,1386,17519,924,83,1007,G IT L,18566,2297,20863,43535,4406,47941
Norwich,New London,2,2668,200,2868,7420,553,7973,158,12,170,G IT L RF WF,9547,1032,10579,19675,1788,21463
Old Lyme,New London,2,1749,43,1792,1747,57,1804,40,3,43,G I IT L WF,2526,110,2636,6092,212,6304
Old Saybrook,Middlesex,2,2311,140,2451,2079,127,2206,70,2,72,G IT L,2982,180,3162,7478,448,7926
Orange,New Haven,3,2441,23,2464,2475,27,2502,106,1,107,G IT L,5315,62,5377,10369,114,10483
Oxford,New Haven,4,2670,62,2732,1483,60,1543,138,2,140,G IT L,4257,147,4404,8532,274,8806
